YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-06,WEEKDAY,6,TRAIN,TE29,2495,507
2026-06,WEEKDAY,9,TRAIN,NS20,27636,85759
2026-06,WEEKDAY,9,TRAIN,DT30,22349,3719
2026-06,WEEKENDS/HOLIDAY,12,TRAIN,TE23,1782,1249
2026-06,WEEKENDS/HOLIDAY,8,TRAIN,CC6,1094,4646
2026-06,WEEKENDS/HOLIDAY,5,TRAIN,EW31,845,154
2026-06,WEEKENDS/HOLIDAY,10,TRAIN,NS3,11023,6714
2026-06,WEEKENDS/HOLIDAY,15,TRAIN,NS19,15752,17371
2026-06,WEEKDAY,8,TRAIN,CC11,11787,117906
2026-06,WEEKDAY,14,TRAIN,PW2,176,162
2026-06,WEEKDAY,22,TRAIN,PE6,1881,4808
2026-06,WEEKDAY,10,TRAIN,EW1,30709,12750
2026-06,WEEKDAY,0,TRAIN,DT5,145,1564
2026-06,WEEKENDS/HOLIDAY,15,TRAIN,EW8/CC9,29502,27808
2026-06,WEEKDAY,12,TRAIN,TE7,6367,4429
2026-06,WEEKDAY,8,TRAIN,BP2,10776,1632
2026-06,WEEKDAY,11,TRAIN,BP4,3207,1400
2026-06,WEEKDAY,23,TRAIN,CE1/DT16,40893,5477
2026-06,WEEKENDS/HOLIDAY,20,TRAIN,NS12,5232,11335
2026-06,WEEKDAY,13,TRAIN,CC4/DT15,25237,28310
2026-06,WEEKDAY,6,TRAIN,PW3,3473,473
2026-06,WEEKDAY,23,TRAIN,NE1/CC29,20031,3762
2026-06,WEEKENDS/HOLIDAY,10,TRAIN,EW8/CC9,17803,41371
2026-06,WEEKDAY,12,TRAIN,EW15,32359,37566
2026-06,WEEKENDS/HOLIDAY,18,TRAIN,TE27,2699,3127
2026-06,WEEKENDS/HOLIDAY,14,TRAIN,NS18,5875,5576
2026-06,WEEKDAY,23,TRAIN,EW27,4235,21268
2026-06,WEEKDAY,5,TRAIN,BP12,2917,190
2026-06,WEEKENDS/HOLIDAY,6,TRAIN,TE25,142,34
2026-06,WEEKDAY,21,TRAIN,NE12/CC13,51747,65654
2026-06,WEEKENDS/HOLIDAY,12,TRAIN,NS24/NE6/CC1,14227,21554
2026-06,WEEKDAY,17,TRAIN,CC11,85789,14843
2026-06,WEEKDAY,12,TRAIN,SE4,4743,3190
2026-06,WEEKDAY,21,TRAIN,EW19,7871,20478
2026-06,WEEKENDS/HOLIDAY,10,TRAIN,PW5,1863,718
2026-06,WEEKENDS/HOLIDAY,6,TRAIN,NS25/EW13,1005,4797
2026-06,WEEKENDS/HOLIDAY,21,TRAIN,DT33,2282,10319
2026-06,WEEKDAY,10,TRAIN,DT17,4974,32582
2026-06,WEEKDAY,7,TRAIN,DT2,5571,13889
2026-06,WEEKENDS/HOLIDAY,5,TRAIN,EW12/DT14,862,158
2026-06,WEEKDAY,10,TRAIN,DT10,4448,1726
2026-06,WEEKDAY,23,TRAIN,NS14,6406,21559
2026-06,WEEKDAY,17,TRAIN,CC10/DT26,44545,23569
2026-06,WEEKDAY,15,TRAIN,TE28,2652,3958
2026-06,WEEKENDS/HOLIDAY,10,TRAIN,NS8,9673,4968
2026-06,WEEKENDS/HOLIDAY,19,TRAIN,CC12,2316,3813
2026-06,WEEKENDS/HOLIDAY,21,TRAIN,DT27,2071,4713
2026-06,WEEKENDS/HOLIDAY,13,TRAIN,CC16,3427,2280
