YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,DT27,3680,3172
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,EW24/NS1,21911,10385
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,TE13,2087,1682
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,EW12/DT14,6821,13925
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,PE5,470,2547
2026-07,WEEKDAY,7,TRAIN,NE8,46032,32381
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,DT28,1675,6983
2026-07,WEEKENDS/HOLIDAY,19,TRAIN,TE29,1255,2106
2026-07,WEEKDAY,12,TRAIN,CC28,4679,3394
2026-07,WEEKDAY,15,TRAIN,PE7,3503,5511
2026-07,WEEKDAY,0,TRAIN,CC11,149,480
2026-07,WEEKENDS/HOLIDAY,15,TRAIN,NS21/DT11,25906,26383
2026-07,WEEKENDS/HOLIDAY,6,TRAIN,PW7,430,569
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,EW17,1360,4869
2026-07,WEEKDAY,19,TRAIN,DT34,8493,13411
2026-07,WEEKDAY,0,TRAIN,EW30,2,309
2026-07,WEEKDAY,15,TRAIN,NS27/CE2/TE20,1768,1515
2026-07,WEEKENDS/HOLIDAY,6,TRAIN,EW12/DT14,4109,4778
2026-07,WEEKENDS/HOLIDAY,5,TRAIN,DT8,24,1
2026-07,WEEKDAY,5,TRAIN,EW9,7508,987
2026-07,WEEKDAY,23,TRAIN,SE4,217,2288
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,NE17/PTC,23798,27105
2026-07,WEEKDAY,0,TRAIN,NE1/CC29,52,300
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,TE11,1944,1931
2026-07,WEEKDAY,19,TRAIN,SE4,3003,10688
2026-07,WEEKENDS/HOLIDAY,11,TRAIN,NS16,18352,13376
2026-07,WEEKDAY,0,TRAIN,BP9,0,1
2026-07,WEEKDAY,7,TRAIN,EW26,154979,65953
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,SE1,412,2220
2026-07,WEEKDAY,19,TRAIN,BP10,2230,9618
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,BP6/DT1,9363,19445
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,NE5,7479,8204
2026-07,WEEKDAY,20,TRAIN,TE24,1961,5304
2026-07,WEEKDAY,15,TRAIN,DT18,13311,8506
2026-07,WEEKDAY,15,TRAIN,BP11,2536,3974
2026-07,WEEKDAY,11,TRAIN,SW2,4371,2340
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,NE16/STC,20365,21944
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,EW23,21601,23441
2026-07,WEEKDAY,19,TRAIN,BP7,874,2611
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,TE3,5109,2529
2026-07,WEEKDAY,20,TRAIN,TE8,14108,11823
2026-07,WEEKENDS/HOLIDAY,6,TRAIN,NE8,5449,2662
2026-07,WEEKDAY,0,TRAIN,NS10,892,8493
2026-07,WEEKDAY,7,TRAIN,TE13,2294,8306
2026-07,WEEKDAY,14,TRAIN,NE16/STC,47663,54641
2026-07,WEEKDAY,11,TRAIN,TE8,8999,9314
2026-07,WEEKDAY,11,TRAIN,TE14/NS22,45121,102273
2026-07,WEEKDAY,11,TRAIN,CC10/DT26,17603,10266
2026-07,WEEKENDS/HOLIDAY,0,TRAIN,EW18,36,201
2026-07,WEEKDAY,0,TRAIN,SW2,27,348
2026-07,WEEKDAY,0,TRAIN,TE18,415,285
2026-07,WEEKDAY,17,TRAIN,EW29,102986,12974
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,TE8,3992,3378
2026-07,WEEKDAY,23,TRAIN,TE5,768,3956
2026-07,WEEKDAY,18,TRAIN,NS11,66301,152208
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,NS4/BP1,14207,8501
2026-07,WEEKDAY,7,TRAIN,CC25,12374,17964
2026-07,WEEKENDS/HOLIDAY,20,TRAIN,NS7,14259,14157
2026-07,WEEKDAY,9,TRAIN,TE28,8428,2761
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,EW18,7048,6779
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,SW6,961,1273
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,CC30,38,51
2026-07,WEEKDAY,15,TRAIN,TE13,5697,5639
2026-07,WEEKDAY,18,TRAIN,SW5,8364,19945
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,NS15,4767,4124
2026-07,WEEKDAY,22,TRAIN,DT31,3789,11482
2026-07,WEEKDAY,0,TRAIN,PE6,77,634
2026-07,WEEKDAY,21,TRAIN,PW5,994,5976
2026-07,WEEKDAY,20,TRAIN,NS28,1145,704
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,CC3,7018,4839
2026-07,WEEKENDS/HOLIDAY,19,TRAIN,BP3,1053,2217
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,BP9,1515,1191
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,DT27,1371,3505
2026-07,WEEKENDS/HOLIDAY,10,TRAIN,CC14,3177,1861
2026-07,WEEKDAY,12,TRAIN,NS7,20929,16288
2026-07,WEEKDAY,18,TRAIN,NE18,38060,33285
2026-07,WEEKDAY,16,TRAIN,NS25/EW13,63025,46837
2026-07,WEEKDAY,19,TRAIN,NS23,65424,61540
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,TE25,135,384
2026-07,WEEKDAY,11,TRAIN,NE14,30999,16409
2026-07,WEEKDAY,8,TRAIN,TE1,11139,58629
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,EW10,5267,6534
2026-07,WEEKDAY,14,TRAIN,DT7,3995,5225
2026-07,WEEKDAY,20,TRAIN,TE11,3608,5561
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,BP5,851,975
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,NS17/CC15,1920,4846
2026-07,WEEKENDS/HOLIDAY,15,TRAIN,NE1/CC29,31751,32787
2026-07,WEEKENDS/HOLIDAY,6,TRAIN,SE4,754,248
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,DT6,3307,2575
2026-07,WEEKDAY,7,TRAIN,BP2,18021,2753
2026-07,WEEKDAY,10,TRAIN,CC30,154,154
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,EW21/CC22,10473,10836
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,CC23,758,2163
2026-07,WEEKDAY,10,TRAIN,EW4,17825,6990
2026-07,WEEKDAY,22,TRAIN,CC25,3256,4693
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,SE5,1316,1248
2026-07,WEEKDAY,21,TRAIN,NS18,7728,26057
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,EW26,12987,17421
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,EW27,16676,14805
2026-07,WEEKENDS/HOLIDAY,19,TRAIN,PE6,2385,3518
2026-07,WEEKENDS/HOLIDAY,19,TRAIN,TE28,1493,2609
2026-07,WEEKDAY,6,TRAIN,NS7,75250,18531
2026-07,WEEKDAY,9,TRAIN,CC5,3849,13576
2026-07,WEEKDAY,11,TRAIN,CC3,4898,10136
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,TE27,2340,2501
2026-07,WEEKDAY,20,TRAIN,DT18,27520,7383
2026-07,WEEKENDS/HOLIDAY,19,TRAIN,NE11,6436,7330
2026-07,WEEKDAY,15,TRAIN,CC4/DT15,22562,20330
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,DT33,3380,1561
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,TE18,7904,5577
2026-07,WEEKDAY,6,TRAIN,CC2,490,2016
2026-07,WEEKENDS/HOLIDAY,19,TRAIN,TE13,1867,1740
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,NS27/CE2/TE20,1427,1696
2026-07,WEEKDAY,17,TRAIN,SW6,3437,5734
2026-07,WEEKDAY,19,TRAIN,CC34/DT16,37241,39096
2026-07,WEEKDAY,7,TRAIN,TE11,9492,15320
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,EW10,7274,9601
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,DT31,1024,4040
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,TE26,8508,7720
2026-07,WEEKENDS/HOLIDAY,12,TRAIN,NS15,6573,3372
2026-07,WEEKENDS/HOLIDAY,0,TRAIN,NS24/NE6/CC1,175,192
2026-07,WEEKDAY,12,TRAIN,PE1,4099,3179
2026-07,WEEKDAY,14,TRAIN,BP10,2943,3881
2026-07,WEEKDAY,17,TRAIN,NE9,58366,37926
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,BP11,1198,1592
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,SE2,2345,2385
2026-07,WEEKDAY,9,TRAIN,EW5,53531,27435
2026-07,WEEKDAY,15,TRAIN,EW24/NS1,71389,63275
2026-07,WEEKDAY,9,TRAIN,NS4/BP1,47455,27121
2026-07,WEEKDAY,7,TRAIN,SE4,13842,2697
2026-07,WEEKDAY,20,TRAIN,CC6,14432,4487
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,EW3,615,3636
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,EW6,4968,3708
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,BP13,482,555
2026-07,WEEKDAY,20,TRAIN,DT31,5964,16865
2026-07,WEEKDAY,13,TRAIN,DT34,4821,6475
2026-07,WEEKDAY,5,TRAIN,CC8,1124,107
2026-07,WEEKENDS/HOLIDAY,10,TRAIN,SW7,595,381
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,DT7,2050,2164
2026-07,WEEKDAY,10,TRAIN,EW20,12909,13174
2026-07,WEEKENDS/HOLIDAY,11,TRAIN,CC31,1124,948
2026-07,WEEKDAY,18,TRAIN,PW4,5682,13287
2026-07,WEEKDAY,22,TRAIN,CC24,12937,3294
2026-07,WEEKDAY,6,TRAIN,PW2,7,165
2026-07,WEEKDAY,19,TRAIN,DT8,8964,8150
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,PW4,2642,2440
2026-07,WEEKENDS/HOLIDAY,15,TRAIN,CC20,2325,2342
2026-07,WEEKDAY,23,TRAIN,CC14,820,2486
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,SW1,993,292
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,NE13,11699,12628
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,CC32,123,132
2026-07,WEEKENDS/HOLIDAY,15,TRAIN,NS28,5104,2364
2026-07,WEEKENDS/HOLIDAY,20,TRAIN,TE15,4744,3743
2026-07,WEEKDAY,16,TRAIN,PE5,6397,8761
2026-07,WEEKDAY,21,TRAIN,SW8,466,2304
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,SW7,25,486
2026-07,WEEKENDS/HOLIDAY,20,TRAIN,NE5,7841,5955
2026-07,WEEKDAY,5,TRAIN,NE16/STC,13005,3068
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,DT21,455,1010
2026-07,WEEKENDS/HOLIDAY,20,TRAIN,NS19,9417,16683
2026-07,WEEKENDS/HOLIDAY,20,TRAIN,PW3,177,586
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,NE14,3249,14876
2026-07,WEEKDAY,22,TRAIN,DT25,1931,5509
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,BP13,92,441
2026-07,WEEKENDS/HOLIDAY,6,TRAIN,PE2,1087,163
2026-07,WEEKENDS/HOLIDAY,5,TRAIN,NS4/BP1,2910,1128
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,EW18,1096,2813
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,CC31,324,842
2026-07,WEEKDAY,13,TRAIN,CC30,231,203
2026-07,WEEKDAY,22,TRAIN,DT30,2031,14389
2026-07,WEEKDAY,8,TRAIN,PE2,17703,2753
2026-07,WEEKDAY,6,TRAIN,PE3,11280,2014
2026-07,WEEKDAY,14,TRAIN,NS25/EW13,55654,51305
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,NS10,5735,19397
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,TE3,5199,3919
2026-07,WEEKDAY,16,TRAIN,NS13,47103,75912
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,CG1/DT35,913,2760
2026-07,WEEKENDS/HOLIDAY,15,TRAIN,NE11,7317,7146
2026-07,WEEKENDS/HOLIDAY,23,TRAIN,NE7/DT12,3501,2436
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,NE1/CC29,20422,37743
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,TE15,5076,4930
2026-07,WEEKDAY,7,TRAIN,SW8,1621,3716
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,TE5,3013,2486
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,SW8,385,561
2026-07,WEEKDAY,18,TRAIN,NE16/STC,75519,182179
2026-07,WEEKENDS/HOLIDAY,11,TRAIN,NE4/DT19,18815,34782
2026-07,WEEKDAY,17,TRAIN,EW8/CC9,118683,79137
2026-07,WEEKDAY,13,TRAIN,CC12,21855,9798
2026-07,WEEKDAY,9,TRAIN,TE15,14412,17502
2026-07,WEEKDAY,18,TRAIN,DT8,18239,10953
2026-07,WEEKDAY,11,TRAIN,NS7,24036,18238
2026-07,WEEKDAY,5,TRAIN,NE4/DT19,1607,61
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,DT34,2011,1589
2026-07,WEEKDAY,7,TRAIN,CC28,11206,7181
2026-07,WEEKDAY,14,TRAIN,NS14,27175,27056
2026-07,WEEKDAY,11,TRAIN,CC24,24621,28613
2026-07,WEEKDAY,12,TRAIN,CC2,5194,5503
2026-07,WEEKDAY,0,TRAIN,PW5,20,635
2026-07,WEEKDAY,13,TRAIN,TE24,3789,3695
2026-07,WEEKDAY,9,TRAIN,BP8,1844,2494
2026-07,WEEKDAY,12,TRAIN,EW33,3741,1960
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,TE6,1815,7430
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,CC10/DT26,8753,7902
2026-07,WEEKENDS/HOLIDAY,5,TRAIN,SE3,279,3
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,BP13,581,192
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,CC28,1855,1773
2026-07,WEEKDAY,22,TRAIN,DT13,7224,9886
2026-07,WEEKDAY,13,TRAIN,NS27/CE2/TE20,1596,3308
2026-07,WEEKENDS/HOLIDAY,11,TRAIN,TE23,1900,1029
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,TE22,2911,6505
2026-07,WEEKDAY,17,TRAIN,NS3,26421,48498
2026-07,WEEKDAY,8,TRAIN,NE15,104704,13339
2026-07,WEEKDAY,12,TRAIN,DT10,4403,2723
2026-07,WEEKENDS/HOLIDAY,11,TRAIN,EW9,10056,9095
2026-07,WEEKDAY,9,TRAIN,DT17,4472,149589
2026-07,WEEKDAY,18,TRAIN,NS27/CE2/TE20,16806,2270
2026-07,WEEKDAY,5,TRAIN,TE16,452,76
2026-07,WEEKDAY,0,TRAIN,CC24,98,125
2026-07,WEEKDAY,12,TRAIN,EW27,39459,40445
2026-07,WEEKDAY,8,TRAIN,NS5,101897,27460
2026-07,WEEKENDS/HOLIDAY,15,TRAIN,TE14/NS22,47486,46968
2026-07,WEEKDAY,11,TRAIN,BP4,7835,2023
2026-07,WEEKENDS/HOLIDAY,12,TRAIN,BP3,2002,1180
2026-07,WEEKDAY,20,TRAIN,NS5,18084,55832
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,CC17/TE9,951,2491
2026-07,WEEKDAY,13,TRAIN,NS12,17017,17304
2026-07,WEEKDAY,23,TRAIN,CC19/DT9,1325,1474
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,DT30,852,4917
2026-07,WEEKDAY,11,TRAIN,EW32,2481,2165
2026-07,WEEKDAY,0,TRAIN,TE8,288,596
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,CC26,783,1506
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,NS17/CC15,9960,4386
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,TE4,1947,2160
2026-07,WEEKDAY,6,TRAIN,NS13,100502,26469
2026-07,WEEKENDS/HOLIDAY,14,TRAIN,EW14/NS26,10280,11232
2026-07,WEEKENDS/HOLIDAY,13,TRAIN,NS23,15523,26527
2026-07,WEEKDAY,21,TRAIN,BP3,1905,6211
2026-07,WEEKDAY,23,TRAIN,NE14,2474,20634
2026-07,WEEKENDS/HOLIDAY,20,TRAIN,DT10,840,1170
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,SW4,1349,580
2026-07,WEEKDAY,6,TRAIN,TE5,10496,2621
2026-07,WEEKDAY,14,TRAIN,PE7,3693,5803
2026-07,WEEKDAY,9,TRAIN,CC2,3030,14401
2026-07,WEEKDAY,6,TRAIN,SW2,8067,1672
2026-07,WEEKENDS/HOLIDAY,0,TRAIN,CC5,16,55
2026-07,WEEKENDS/HOLIDAY,6,TRAIN,TE6,2615,432
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,CC27,1372,963
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,NS20,14183,13785
2026-07,WEEKDAY,13,TRAIN,CC19/DT9,8162,7817
2026-07,WEEKENDS/HOLIDAY,10,TRAIN,NS17/CC15,17856,5110
2026-07,WEEKDAY,6,TRAIN,TE18,1623,4078
2026-07,WEEKDAY,13,TRAIN,EW18,17392,18118
2026-07,WEEKENDS/HOLIDAY,16,TRAIN,NE8,18640,22041
2026-07,WEEKENDS/HOLIDAY,12,TRAIN,DT8,1830,1416
2026-07,WEEKDAY,23,TRAIN,BP6/DT1,4332,22340
2026-07,WEEKDAY,13,TRAIN,PW4,4451,5210
2026-07,WEEKDAY,12,TRAIN,EW12/DT14,58385,90351
2026-07,WEEKENDS/HOLIDAY,10,TRAIN,EW17,10512,9050
2026-07,WEEKDAY,18,TRAIN,TE3,25750,41864
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,NS27/CE2/TE20,242,975
2026-07,WEEKENDS/HOLIDAY,22,TRAIN,EW5,5162,13930
2026-07,WEEKENDS/HOLIDAY,21,TRAIN,NS17/CC15,5506,9870
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,NE14,17636,6430
2026-07,WEEKDAY,22,TRAIN,NS10,11436,49315
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,EW9,9214,8943
2026-07,WEEKENDS/HOLIDAY,7,TRAIN,NE8,8759,5832
2026-07,WEEKENDS/HOLIDAY,17,TRAIN,DT25,1807,2303
2026-07,WEEKENDS/HOLIDAY,8,TRAIN,EW2/DT32,19542,13302
2026-07,WEEKDAY,8,TRAIN,TE26,19932,13179
2026-07,WEEKDAY,0,TRAIN,DT33,30,3054
2026-07,WEEKDAY,22,TRAIN,PW4,1808,3470
2026-07,WEEKDAY,11,TRAIN,TE24,4007,2251
2026-07,WEEKENDS/HOLIDAY,9,TRAIN,CC19/DT9,2632,4514
2026-07,WEEKDAY,6,TRAIN,TE1,12908,7288
2026-07,WEEKENDS/HOLIDAY,18,TRAIN,DT10,1923,1389
2026-07,WEEKENDS/HOLIDAY,0,TRAIN,NS25/EW13,304,172
