YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-06,WEEKDAY,16,BUS,76551,1640,661
2026-06,WEEKENDS/HOLIDAY,22,BUS,23141,1,0
2026-06,WEEKENDS/HOLIDAY,7,BUS,47079,256,327
2026-06,WEEKENDS/HOLIDAY,9,BUS,18121,33,118
2026-06,WEEKDAY,16,BUS,44389,425,442
2026-06,WEEKENDS/HOLIDAY,8,BUS,76141,649,1024
2026-06,WEEKENDS/HOLIDAY,11,BUS,78261,163,126
2026-06,WEEKENDS/HOLIDAY,0,BUS,50089,3,10
2026-06,WEEKENDS/HOLIDAY,13,BUS,59411,815,755
2026-06,WEEKDAY,11,BUS,93049,608,427
2026-06,WEEKENDS/HOLIDAY,7,BUS,84261,65,28
2026-06,WEEKDAY,11,BUS,11539,242,143
2026-06,WEEKDAY,7,BUS,17081,650,134
2026-06,WEEKDAY,5,BUS,67151,158,2
2026-06,WEEKENDS/HOLIDAY,11,BUS,77319,286,79
2026-06,WEEKDAY,16,BUS,29119,127,23
2026-06,WEEKENDS/HOLIDAY,9,BUS,22511,525,233
2026-06,WEEKENDS/HOLIDAY,15,BUS,66451,219,89
2026-06,WEEKDAY,18,BUS,44569,945,519
2026-06,WEEKDAY,19,BUS,43421,900,1999
2026-06,WEEKDAY,15,BUS,23469,80,14
2026-06,WEEKDAY,9,BUS,18189,107,7
2026-06,WEEKENDS/HOLIDAY,17,BUS,17331,42,7
2026-06,WEEKENDS/HOLIDAY,15,BUS,58201,29,17
2026-06,WEEKENDS/HOLIDAY,9,BUS,59329,87,68
2026-06,WEEKENDS/HOLIDAY,14,BUS,30129,5,187
2026-06,WEEKDAY,17,BUS,20249,77,803
2026-06,WEEKDAY,11,BUS,59031,666,712
2026-06,WEEKDAY,21,BUS,59789,31,45
2026-06,WEEKDAY,7,BUS,43381,269,3349
2026-06,WEEKDAY,0,BUS,83261,0,6
2026-06,WEEKDAY,17,BUS,53059,1636,3405
2026-06,WEEKDAY,14,BUS,28311,694,398
2026-06,WEEKDAY,15,BUS,17309,32,86
2026-06,WEEKENDS/HOLIDAY,13,BUS,07379,841,1149
2026-06,WEEKENDS/HOLIDAY,8,BUS,53029,220,278
2026-06,WEEKENDS/HOLIDAY,16,BUS,16159,137,376
2026-06,WEEKENDS/HOLIDAY,8,BUS,64081,112,203
2026-06,WEEKDAY,16,BUS,46049,220,11
2026-06,WEEKDAY,16,BUS,54101,972,295
2026-06,WEEKDAY,21,BUS,76209,67,529
2026-06,WEEKDAY,17,BUS,84471,2722,2852
2026-06,WEEKDAY,16,BUS,65019,845,801
2026-06,WEEKENDS/HOLIDAY,19,BUS,75291,269,286
2026-06,WEEKDAY,1,BUS,60051,16,0
2026-06,WEEKDAY,23,BUS,93051,42,93
2026-06,WEEKDAY,18,BUS,98049,501,171
2026-06,WEEKDAY,23,BUS,75229,155,83
2026-06,WEEKDAY,12,BUS,77161,118,104
2026-06,WEEKENDS/HOLIDAY,16,BUS,40469,53,58
2026-06,WEEKENDS/HOLIDAY,17,BUS,48059,21,16
