YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKDAY,19,BUS,67519,43,23
2026-07,WEEKENDS/HOLIDAY,9,BUS,96119,12,96
2026-07,WEEKDAY,5,BUS,77029,484,97
2026-07,WEEKDAY,16,BUS,64209,1250,1460
2026-07,WEEKENDS/HOLIDAY,7,BUS,74019,1,39
2026-07,WEEKENDS/HOLIDAY,7,BUS,83121,193,22
2026-07,WEEKENDS/HOLIDAY,17,BUS,11079,208,417
2026-07,WEEKDAY,15,BUS,15111,86,22
2026-07,WEEKENDS/HOLIDAY,16,BUS,46771,2224,638
2026-07,WEEKENDS/HOLIDAY,16,BUS,67101,232,234
2026-07,WEEKENDS/HOLIDAY,17,BUS,82139,427,76
2026-07,WEEKDAY,13,BUS,52299,427,363
2026-07,WEEKDAY,8,BUS,29121,41,1661
2026-07,WEEKDAY,12,BUS,25551,40,53
2026-07,WEEKDAY,14,BUS,51089,356,356
2026-07,WEEKDAY,19,BUS,84279,1062,51
2026-07,WEEKENDS/HOLIDAY,16,BUS,90051,94,13
2026-07,WEEKDAY,19,BUS,71079,3238,789
2026-07,WEEKDAY,14,BUS,74919,26,170
2026-07,WEEKDAY,1,BUS,12071,0,4
2026-07,WEEKENDS/HOLIDAY,19,BUS,20201,50,299
2026-07,WEEKENDS/HOLIDAY,11,BUS,44209,290,489
2026-07,WEEKENDS/HOLIDAY,13,BUS,59019,60,23
2026-07,WEEKDAY,5,BUS,47051,14,134
2026-07,WEEKDAY,11,BUS,53071,314,289
2026-07,WEEKENDS/HOLIDAY,8,BUS,52069,74,189
2026-07,WEEKENDS/HOLIDAY,12,BUS,20159,153,215
2026-07,WEEKENDS/HOLIDAY,11,BUS,24299,26,1
2026-07,WEEKDAY,10,BUS,75261,458,593
2026-07,WEEKENDS/HOLIDAY,11,BUS,26121,2,2
2026-07,WEEKENDS/HOLIDAY,17,BUS,83371,45,64
2026-07,WEEKENDS/HOLIDAY,22,BUS,03217,76,52
2026-07,WEEKDAY,11,BUS,67071,648,316
2026-07,WEEKDAY,10,BUS,45091,89,21
